,Over,Bowler,Non_Striker,Runs,Extras,Extra Type,Opposition,Venue,Year
0,1.5,Sandeep Sharma,Vishnu Vinod,4,0,legal,Kings XI Punjab,Indore,10-Apr-2017
1,1.6,Sandeep Sharma,Vishnu Vinod,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
2,2.4,MM Sharma,Vishnu Vinod,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
3,2.5,MM Sharma,Vishnu Vinod,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
4,2.6,MM Sharma,Vishnu Vinod,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
5,3.4,Sandeep Sharma,KM Jadhav,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
6,4.1,VR Aaron,KM Jadhav,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
7,4.2,VR Aaron,KM Jadhav,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
8,4.3,VR Aaron,KM Jadhav,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
9,4.5,VR Aaron,KM Jadhav,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
10,5.1,Sandeep Sharma,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
11,6.1,VR Aaron,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
12,6.6,VR Aaron,Mandeep Singh,4,0,legal,Kings XI Punjab,Indore,10-Apr-2017
13,8.4,T Natarajan,Mandeep Singh,0,1,wides,Kings XI Punjab,Indore,10-Apr-2017
14,8.5,T Natarajan,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
15,9.1,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
16,9.3,MP Stoinis,Mandeep Singh,2,0,legal,Kings XI Punjab,Indore,10-Apr-2017
17,9.4,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
18,9.6,MP Stoinis,Mandeep Singh,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
19,10.3,AR Patel,Mandeep Singh,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
20,10.4,AR Patel,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
21,10.6,AR Patel,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
22,11.1,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
23,11.3,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
24,11.5,MP Stoinis,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
25,12.3,AR Patel,Mandeep Singh,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
26,13.2,VR Aaron,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
27,13.3,VR Aaron,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
28,14.6,AR Patel,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
29,15.3,VR Aaron,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
30,15.4,VR Aaron,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
31,16.2,MP Stoinis,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
32,16.3,MP Stoinis,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
33,16.4,MP Stoinis,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
34,16.6,MP Stoinis,STR Binny,0,1,wides,Kings XI Punjab,Indore,10-Apr-2017
35,16.7,MP Stoinis,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
36,17.4,MM Sharma,STR Binny,2,0,legal,Kings XI Punjab,Indore,10-Apr-2017
37,17.5,MM Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
38,17.6,MM Sharma,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
39,18.2,Sandeep Sharma,STR Binny,4,0,legal,Kings XI Punjab,Indore,10-Apr-2017
40,18.3,Sandeep Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
41,18.4,Sandeep Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
42,18.5,Sandeep Sharma,STR Binny,0,1,wides,Kings XI Punjab,Indore,10-Apr-2017
43,18.6,Sandeep Sharma,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
44,18.7,Sandeep Sharma,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
45,19.1,MM Sharma,STR Binny,1,0,legal,Kings XI Punjab,Indore,10-Apr-2017
46,19.4,MM Sharma,STR Binny,0,0,legal,Kings XI Punjab,Indore,10-Apr-2017
47,19.5,MM Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
48,19.6,MM Sharma,STR Binny,6,0,legal,Kings XI Punjab,Indore,10-Apr-2017
49,9.3,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
50,9.6,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
51,10.1,KH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
52,10.2,KH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
53,10.3,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
54,10.5,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
55,11.1,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
56,11.3,HH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
57,11.4,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
58,11.6,HH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
59,12.1,KH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
60,12.2,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
61,12.5,KH Pandya,V Kohli,0,4,byes,Mumbai Indians,Bangalore,14-Apr-2017
62,12.6,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
63,13.1,JJ Bumrah,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
64,13.3,JJ Bumrah,V Kohli,6,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
65,13.4,JJ Bumrah,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
66,14.1,KH Pandya,V Kohli,1,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
67,14.6,KH Pandya,V Kohli,0,0,legal,Mumbai Indians,Bangalore,14-Apr-2017
68,15.5,MJ McClenaghan,KM Jadhav,0,1,wides,Mumbai Indians,Bangalore,14-Apr-2017
