,Date,Over,Over category,BattingOrder,WicketsInHand,Non Striker,Bowler,Bowler Type,3Yr_Econ_Avg,3Yr_Wickets_Total,Status,Opposition,Venue,Runs,CumulativeRunsForBowler
1166,2011-04-09,5.4,Power Play,4,6,MA Agarwal,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,0,4
1167,2011-04-09,5.5,Power Play,4,6,MA Agarwal,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,0,8
1168,2011-04-09,5.6,Power Play,4,6,MA Agarwal,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,0,12
1169,2011-04-09,6.4,Middle Overs (6-10),4,6,MA Agarwal,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,2,4
1170,2011-04-09,6.5,Middle Overs (6-10),4,6,MA Agarwal,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,0,8
1171,2011-04-09,6.6,Middle Overs (6-10),4,6,MA Agarwal,M Muralitharan,Right-arm offbreak,6.343,40.0,Not Out,Kochi Tuskers Kerala,Kochi,0,12
1172,2011-04-09,7.4,Middle Overs (6-10),4,6,MA Agarwal,R Vinay Kumar,Right-arm fast-medium,8.287,30.0,Not Out,Kochi Tuskers Kerala,Kochi,1,16
1173,2011-04-09,8.1,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,1,4
1174,2011-04-09,8.3,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,1,8
1175,2011-04-09,8.5,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,1,12
1176,2011-04-09,8.7,Middle Overs (6-10),4,6,MA Agarwal,S Sreesanth,Right-arm fast-medium,9.007,28.0,Not Out,Kochi Tuskers Kerala,Kochi,6,16
